verb,sl,sl_noloc,sl_nowith,inch,non_inch,there,non_there,dat_both,dative_to,dat_do,refl_op,refl_only
fed,0,0,0,0,1,0,1,1,0,0,0,0
served,0,0,0,0,x,0,x,1,0,0,0,0
gave,0,0,0,0,x,0,x,1,0,0,0,0
left,0,0,0,0,x,0,x,1,0,0,0,0
brought,0,0,0,0,x,0,x,1,0,0,0,0
passed,0,0,0,0,x,0,x,1,0,0,0,0
sent,0,0,0,0,x,0,x,1,0,0,0,0
sold,0,0,0,0,x,0,x,1,0,0,0,0
traded,0,0,0,0,x,0,x,1,0,0,0,0
peddled,0,0,0,0,x,0,x,1,0,0,0,0
offered,0,0,0,0,x,0,x,1,0,0,0,0
rented,0,0,0,0,x,0,x,1,0,0,0,0
leased,0,0,0,0,x,0,x,1,0,0,0,0
loaned,0,0,0,0,x,0,x,1,0,0,0,0
assigned,0,0,0,0,x,0,x,1,0,0,0,0
awarded,0,0,0,0,x,0,x,1,0,0,0,0
allotted,0,0,0,0,x,0,x,1,0,0,0,0
bequeathed,0,0,0,0,x,0,x,1,0,0,0,0
ceded,0,0,0,0,x,0,x,1,0,0,0,0
granted,0,0,0,0,x,0,x,1,0,0,0,0
promised,0,0,0,0,x,0,x,1,0,0,0,0
willed,0,0,0,0,x,0,x,1,0,0,0,0
allocated,0,0,0,0,x,0,x,1,0,0,0,0
forwarded,0,0,0,0,x,0,x,1,0,0,0,0
mailed,0,0,0,0,x,0,x,1,0,0,0,0
shipped,0,0,0,0,x,0,x,1,0,0,0,0
posted,0,0,0,0,x,0,x,1,0,0,0,0
carried,0,0,0,0,x,0,x,1,0,0,0,0
schlepped,0,0,0,0,x,0,x,1,0,0,0,0
lugged,0,0,0,0,x,0,x,1,0,0,0,0
dragged,0,0,0,0,x,0,x,1,0,0,0,0
hauled,0,0,0,0,x,0,x,1,0,0,0,0
chucked,0,0,0,0,x,0,x,1,0,0,0,0
flung,0,0,0,0,x,0,x,1,0,0,0,0
tossed,0,0,0,0,x,0,x,1,0,0,0,0
threw,0,0,0,0,x,0,x,1,0,0,0,0
kicked,0,0,0,0,x,0,x,1,0,0,0,0
read,0,0,0,0,1,0,1,1,0,0,0,0
told,0,0,0,0,x,0,x,1,0,0,0,0
taught,0,0,0,0,x,0,x,1,0,0,0,0
showed,0,0,0,0,x,0,x,1,0,0,0,1
addressed,0,0,0,0,x,0,x,0,1,0,0,0
recited,0,0,0,0,x,0,x,0,1,0,0,0
explained,0,0,0,0,1,0,1,0,1,0,0,0
illustrated,0,0,0,0,x,0,x,0,1,0,0,0
demonstrated,0,0,0,0,x,0,x,0,1,0,0,0
donated,0,0,0,0,x,0,x,0,1,0,0,0
contributed,0,0,0,0,x,0,x,0,1,0,0,0
delivered,0,0,0,0,x,0,x,0,1,0,0,0
conveyed,0,0,0,0,x,0,x,0,1,0,0,0
restored,0,0,0,0,x,0,x,0,1,0,0,0
returned,0,0,0,0,x,0,x,0,1,0,0,0
announced,0,0,0,0,x,0,x,0,1,0,0,0
declared,0,0,0,0,x,0,x,0,1,0,0,0
revealed,0,0,0,0,1,0,1,0,1,0,0,0
reported,0,0,0,0,x,0,x,0,1,0,0,0
admitted,0,0,0,0,x,0,x,0,1,0,0,0
confessed,0,0,0,0,x,0,x,0,1,0,0,0
mentioned,0,0,0,0,x,0,x,0,1,0,0,0
suggested,0,0,0,0,x,0,x,0,1,0,0,0
proposed,0,0,0,0,x,0,x,0,1,0,0,0
distributed,0,0,0,0,x,0,x,0,1,0,0,0
administered,0,0,0,0,x,0,x,0,1,0,0,0
expressed,0,0,0,0,x,0,x,0,1,0,0,0
broadcasted,0,0,0,0,x,0,x,0,1,0,0,0
cost,0,0,0,0,x,0,x,0,0,1,0,0
envied,0,0,0,0,x,0,x,0,0,1,0,0
begrudged,0,0,0,0,x,0,x,0,0,1,0,0
forgave,0,0,0,0,x,0,x,0,0,1,0,0
wished,0,0,0,0,x,0,x,0,0,1,0,0
guaranteed,0,0,0,0,x,0,x,0,0,1,0,0
