Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
animacy,BERT,1024,the_1,7,99.31428571428572,99.13297619047619,99.31766667714122,99.45,object
animacy,BERT,1024,cat,10,98.15,97.62222222222222,98.14532321486305,98.7001923076923,object
animacy,BERT,1024,chased,3,98.10000000000001,97.9,98.09943512411178,98.2,object
animacy,BERT,1024,the_2,8,98.025,97.76642857142856,98.02501168795257,98.31666666666666,object
animacy,BERT,1024,rat,36,100,100,100,100,object
animacy,BERT,1024_1024_1024,the_1,2,99,98.8,99.00654900654901,99.2,object
animacy,BERT,1024_1024_1024,rat,4,100,100,100,100,object
animacy,BERT,20_20_20,the_1,31,99.29354838709678,99.19993589743589,99.29366912311629,99.36431650246305,object
animacy,BERT,20_20_20,cat,23,97.9608695652174,97.83997222222223,97.95765808612478,98.08152777777778,object
animacy,BERT,20_20_20,chased,27,98.22222222222221,98.15195,98.2209469467326,98.2923148148148,object
animacy,BERT,20_20_20,the_2,26,97.82692307692308,97.73123798076924,97.82681108857598,97.93601666666667,object
animacy,BERT,20_20_20,rat,29,100,100,100,100,object
animacy,ELMo,1024,the_1,2,86.94999999999999,86.3,86.93340678529852,87.6,object
animacy,ELMo,1024,cat,1,85.9,85.9,85.9,85.9,object
animacy,ELMo,1024,chased,4,95.275,94.8,95.2814478606802,96.1,object
animacy,ELMo,1024,the_2,20,99.30499999999999,99.00663157894736,99.30150936764763,99.52505681818181,object
animacy,ELMo,1024,rat,30,100,100,100,100,object
animacy,ELMo,1024_1024_1024,chased,5,94.7,93.73333333333333,94.67987615503209,95.4,object
animacy,ELMo,1024_1024_1024,the_2,4,99.1,98.9,99.0996151910695,99.3,object
animacy,ELMo,1024_1024_1024,rat,17,100,100,100,100,object
animacy,ELMo,20_20_20,the_1,17,86.65882352941176,86.22142857142858,86.65444052463951,87.15,object
animacy,ELMo,20_20_20,cat,30,86.54333333333334,84.38968181818183,86.54917990556142,88.31675,object
animacy,ELMo,20_20_20,chased,21,95.79523809523809,95.65,95.80016065868196,95.95557291666668,object
animacy,ELMo,20_20_20,the_2,27,99.25555555555556,99.15649758454107,99.25498902838639,99.34285714285714,object
animacy,ELMo,20_20_20,rat,28,99.11428571428571,98.38603701825559,99.1131973080498,99.80357142857143,object
animacy,GLoVe,1024,the_1,50,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,cat,50,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,chased,50,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,the_2,50,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,rat,50,83.368,76.9,83.37219715390417,89.50362068965516,object
