bert,20_20_20,0,65.0
bert,1024_1024_1024,0,45.1
bert,1024,0,64.4
bert,20_20_20,1,45.1
bert,1024_1024_1024,1,45.1
bert,1024,1,74.0
bert,20_20_20,2,80.3
bert,1024_1024_1024,2,45.1
bert,1024,2,75.4
bert,20_20_20,3,83.4
bert,1024_1024_1024,3,45.1
bert,1024,3,79.6
bert,20_20_20,4,45.1
bert,1024_1024_1024,4,89.3
bert,1024,4,86.9
elmo,20_20_20,0,64.4
elmo,1024_1024_1024,0,45.1
elmo,1024,0,45.1
elmo,20_20_20,1,45.1
elmo,1024_1024_1024,1,45.1
elmo,1024,1,45.1
elmo,20_20_20,2,87.7
elmo,1024_1024_1024,2,45.1
elmo,1024,2,45.1
elmo,20_20_20,3,88.8
elmo,1024_1024_1024,3,67.5
elmo,1024,3,88.8
elmo,20_20_20,4,45.1
elmo,1024_1024_1024,4,45.1
elmo,1024,4,88.8
gpt,20_20_20,0,45.1
gpt,1024_1024_1024,0,45.1
gpt,1024,0,45.1
gpt,20_20_20,1,45.1
gpt,1024_1024_1024,1,45.1
gpt,1024,1,45.1
gpt,20_20_20,2,48.4
gpt,1024_1024_1024,2,45.1
gpt,1024,2,45.1
gpt,20_20_20,3,52.2
gpt,1024_1024_1024,3,45.1
gpt,1024,3,45.1
gpt,20_20_20,4,88.5
gpt,1024_1024_1024,4,95.6
gpt,1024,4,92.9
glove,20_20_20,0,45.1
glove,1024_1024_1024,0,45.1
glove,1024,0,45.1
glove,20_20_20,1,45.1
glove,1024_1024_1024,1,45.1
glove,1024,1,45.1
glove,20_20_20,2,45.1
glove,1024_1024_1024,2,45.1
glove,1024,2,45.1
glove,20_20_20,3,45.1
glove,1024_1024_1024,3,45.1
glove,1024,3,45.1
glove,20_20_20,4,45.1
glove,1024_1024_1024,4,100.0
glove,1024,4,45.1
