Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
animacy,BERT,1024,the_1,14,98.5,98.1,98.49654015701215,98.8,object
animacy,BERT,1024,cat,7,99.28571428571429,99.23333333333333,99.28683669622045,99.34,object
animacy,BERT,1024,chased,13,99.33846153846154,99.08329545454545,99.33431301781,99.54289682539684,object
animacy,BERT,1024,the_2,20,99.96000000000001,99.9388888888889,99.95961406277426,99.98126420454545,object
animacy,BERT,1024,rat,19,100,100,100,100,object
animacy,BERT,1024_1024_1024,the_1,3,98.73333333333333,98.1,98.73669334470705,99.2,object
animacy,BERT,1024_1024_1024,cat,1,97.4,97.4,97.4,97.4,object
animacy,BERT,1024_1024_1024,chased,3,97.4,96.9,97.39447963072963,98.1,object
animacy,BERT,1024_1024_1024,the_2,5,99.98,99.93333333333334,99.97950088727504,100,object
animacy,BERT,1024_1024_1024,rat,4,100,100,100,100,object
animacy,BERT,20_20_20,the_1,30,98.22666666666667,98.09669858870967,98.2271288198523,98.31666666666666,object
animacy,BERT,20_20_20,cat,24,98.74166666666666,98.59564182194616,98.74368052212887,98.9,object
animacy,BERT,20_20_20,chased,31,98.52903225806452,98.38789677419356,98.53054115326657,98.70025641025642,object
animacy,BERT,20_20_20,the_2,36,99.9388888888889,99.92307692307693,99.9389276500956,99.95517468239565,object
animacy,BERT,20_20_20,rat,34,99.99705882352941,99.99032061369,99.99700576918472,100,object
animacy,ELMo,1024,the_1,7,97.27142857142857,96.98,97.27629809305036,97.776875,object
animacy,ELMo,1024,cat,3,84.56666666666666,77.8,84.40468016871318,97.1,object
animacy,ELMo,1024,chased,17,99.95882352941176,99.90584398976982,99.95991577452546,100,object
animacy,ELMo,1024,the_2,30,100,100,100,100,object
animacy,ELMo,1024,rat,32,99.99375,99.98,99.9942246619709,100,object
animacy,ELMo,1024_1024_1024,the_1,4,96.325,95.4,96.32297016937211,96.8,object
animacy,ELMo,1024_1024_1024,cat,1,94,94,94,94,object
animacy,ELMo,1024_1024_1024,chased,1,99.8,99.8,99.8,99.8,object
animacy,ELMo,1024_1024_1024,the_2,4,100,100,100,100,object
animacy,ELMo,1024_1024_1024,rat,17,99.60588235294118,98.9263846153846,99.60699439639097,100,object
animacy,ELMo,20_20_20,the_1,22,98.25909090909092,98.08233957219251,98.25941884614201,98.41767463235294,object
animacy,ELMo,20_20_20,cat,40,93.575,90.3996052631579,93.56769027068582,96.24894255455713,object
animacy,ELMo,20_20_20,chased,33,99.75151515151515,99.55881845841786,99.75545016821961,99.91673076923077,object
animacy,ELMo,20_20_20,the_2,29,99.2448275862069,98.59992647058823,99.2639297142537,99.83483896940419,object
animacy,ELMo,20_20_20,rat,31,98.87096774193549,98.102868338558,98.86361054296916,99.52629685157422,object
animacy,GLoVe,1024,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,cat,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,chased,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,the_2,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,rat,50,82.18,75.82243910806174,82.07356355919703,88.50824117647058,object
animacy,GLoVe,1024_1024_1024,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,cat,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,chased,50,51.188,51.15858374384237,51.18769073861624,51.2,object
animacy,GLoVe,1024_1024_1024,the_2,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,rat,50,66.816,60.617543859649125,66.8164036803056,73.11144897959184,object
animacy,GLoVe,20_20_20,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,20_20_20,cat,50,53.582,52.96353354978355,53.58298793811247,54.182978723404254,object
animacy,GLoVe,20_20_20,chased,50,51.204,51.2,51.20393517513516,51.21363636363637,object
animacy,GLoVe,20_20_20,the_2,50,51.2,51.2,51.2,51.2,object
animacy,GLoVe,20_20_20,rat,50,72.61,66.30300911854104,72.6973823596099,79.42856895144838,object
animacy,GPT,1024,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,cat,50,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,chased,50,51.298,51.2,51.299096965155506,51.460950390189524,object
animacy,GPT,1024,the_2,50,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,rat,50,78.398,72.40979629629629,78.51103673160694,84.16647862918752,object
animacy,GPT,1024_1024_1024,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GPT,1024_1024_1024,cat,50,51.2,51.2,51.2,51.2,object
animacy,GPT,1024_1024_1024,chased,50,51.274,51.13204281567489,51.275415488145626,51.53418691222571,object
animacy,GPT,1024_1024_1024,the_2,50,51.232,51.12978723404255,51.22969157832546,51.3558455882353,object
animacy,GPT,1024_1024_1024,rat,50,63.25,58.04438397129187,63.262719512002235,69.40432180851064,object
animacy,GPT,20_20_20,the_1,50,51.2,51.2,51.2,51.2,object
animacy,GPT,20_20_20,cat,50,52.190000000000005,51.83241726296959,52.18179786520323,52.53680424528302,object
animacy,GPT,20_20_20,chased,50,51.714,51.38880303030303,51.70937766361715,52.044243421052634,object
animacy,GPT,20_20_20,the_2,50,51.838,51.48247500000001,51.838525856598416,52.22505208333334,object
animacy,GPT,20_20_20,rat,50,77.748,72.18110251450678,77.75970501974692,82.93236702127659,object
gender,BERT,1024,the_1,1,62.5,62.5,62.5,62.5,object
gender,BERT,1024,cat,2,71.44999999999999,70.6,71.43282229965156,72.3,object
gender,BERT,1024,chased,1,75.8,75.8,75.8,75.8,object
gender,BERT,1024,the_2,4,81.375,78.65,81.46506514382402,85.2,object
gender,BERT,1024,rat,14,90.25,89.0619375,90.28598027362013,91.53375,object
gender,BERT,1024_1024_1024,the_2,1,79.8,79.8,79.8,79.8,object
gender,BERT,20_20_20,the_1,26,67.73846153846154,66.96362440191389,67.7583014867878,68.55232789855071,object
gender,BERT,20_20_20,cat,29,77.73448275862069,76.91205592105263,77.72278673352022,78.49175000000001,object
gender,BERT,20_20_20,chased,25,80.044,79.26201724137931,80.05500428810308,80.75017857142858,object
gender,BERT,20_20_20,the_2,30,81.44,80.90433172302738,81.44169404932796,81.9486268939394,object
gender,BERT,20_20_20,rat,33,91.11212121212121,90.66467181467182,91.11467824083124,91.53516584766585,object
gender,ELMo,1024,the_1,1,62.1,62.1,62.1,62.1,object
gender,ELMo,1024,cat,1,61,61,61,61,object
gender,ELMo,1024,the_2,4,88.3,88.3,88.3,88.3,object
gender,ELMo,1024,rat,36,88.48333333333333,87.4702635135135,88.48121248783012,89.28113738738739,object
gender,ELMo,1024_1024_1024,the_2,1,88.3,88.3,88.3,88.3,object
