Task,Embedder,Classifier,Word,n,Score,ci_lower,mean,ci_upper
object_animacy,bert,1024,the_1,50,64.444,58.87433086680761,64.29308700928614,70.3449924012158
object_animacy,bert,1024,cat,50,57.932,53.66660256410257,58.000716490411804,63.00353537735848
object_animacy,bert,1024,chased,50,63.716,57.81703346855984,63.717288616630334,70.16286997885834
object_animacy,bert,1024,the_2,50,70.70400000000001,64.08011006289308,70.64963390821622,76.82630129348796
object_animacy,bert,1024,rat,50,69.744,62.912,69.65851595391457,76.6608695652174
object_animacy,bert,1024_1024_1024,the_1,50,54.052,51.2,54.01856801050401,57.53161111111112
object_animacy,bert,1024_1024_1024,cat,50,52.124,51.2,52.151475280159495,54.33355347749854
object_animacy,bert,1024_1024_1024,chased,50,53.972,51.2,53.95460991823549,57.36341666666667
object_animacy,bert,1024_1024_1024,the_2,50,56.078,52.21614795918367,55.9814762140313,60.45437397372742
object_animacy,bert,1024_1024_1024,rat,50,55.104,52.05614035087719,55.15217214802222,59.472066354129105
object_animacy,bert,20_20_20,the_1,50,79.416,72.905,79.45748208962272,85.48197916666666
object_animacy,bert,20_20_20,cat,50,74.02,67.28882440476191,73.9716011668209,80.64979064039409
object_animacy,bert,20_20_20,chased,50,80.544,74.06007056451614,80.70895525704921,87.22134881422924
object_animacy,bert,20_20_20,the_2,50,86.292,80.00510926573428,86.37089442540065,92.43602564102565
object_animacy,bert,20_20_20,rat,50,84.382,77.34281250000001,84.35872317130949,90.58256718924972
object_animacy,elmo,1024,the_1,50,57.650000000000006,53.553250000000006,57.54395832565259,62.35439516129033
object_animacy,elmo,1024,cat,50,53.202000000000005,51.2,53.171962576215485,55.628687782805436
object_animacy,elmo,1024,chased,50,67.778,61.71589635854342,67.81622497160022,74.09734393757503
object_animacy,elmo,1024,the_2,50,80.48,73.37972555746141,80.47438773470657,86.90930081300813
object_animacy,elmo,1024,rat,50,82.428,75.6,82.49029216124123,88.73608490566036
object_animacy,elmo,1024_1024_1024,the_1,50,54.81,51.98593768905021,54.75301351622356,58.50567936117936
object_animacy,elmo,1024_1024_1024,cat,50,52.056000000000004,51.2,52.0478941664603,53.99285507246377
object_animacy,elmo,1024_1024_1024,chased,50,52.172000000000004,51.2,52.15571813361907,54.37132608695652
object_animacy,elmo,1024_1024_1024,the_2,50,55.104,52.04067816091954,55.11781456197429,59.00887142857143
object_animacy,elmo,1024_1024_1024,rat,50,67.658,61.50025170972644,67.58623853799143,74.40488988833746
object_animacy,elmo,20_20_20,the_1,50,71.906,65.73920787545788,71.83925586527033,78.2526923076923
object_animacy,elmo,20_20_20,cat,50,85.1,79.0991819221968,85.14708499388915,90.488850698174
object_animacy,elmo,20_20_20,chased,50,83.244,76.59322463768116,83.15448233398395,89.68958512931034
object_animacy,elmo,20_20_20,the_2,50,79.066,72.05924978687126,78.87058996765526,85.30268137254902
object_animacy,elmo,20_20_20,rat,50,80.756,73.80945344544709,80.86662820344186,87.52830128205127
object_animacy,glove,1024,the_1,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024,cat,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024,chased,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024,the_2,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024,rat,50,82.18,75.03226305397105,82.16530071742773,88.67473035230353
object_animacy,glove,1024_1024_1024,the_1,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024_1024_1024,cat,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024_1024_1024,chased,50,51.188,51.15860866078589,51.1877185187117,51.2
object_animacy,glove,1024_1024_1024,the_2,50,51.2,51.2,51.2,51.2
object_animacy,glove,1024_1024_1024,rat,50,66.816,60.955642857142855,66.89465387465302,73.38181818181819
object_animacy,glove,20_20_20,the_1,50,51.2,51.2,51.2,51.2
object_animacy,glove,20_20_20,cat,50,53.582,53.01414133738602,53.592884591895604,54.1420275862069
object_animacy,glove,20_20_20,chased,50,51.204,51.2,51.204110204604774,51.214285714285715
object_animacy,glove,20_20_20,the_2,50,51.2,51.2,51.2,51.2
object_animacy,glove,20_20_20,rat,50,72.61,65.80932565789473,72.42422980744152,78.88823529411765
object_animacy,gpt,1024,the_1,50,51.2,51.2,51.2,51.2
object_animacy,gpt,1024,cat,50,51.2,51.2,51.2,51.2
object_animacy,gpt,1024,chased,50,51.298,51.2,51.29341291197616,51.449092449922965
object_animacy,gpt,1024,the_2,50,51.2,51.2,51.2,51.2
object_animacy,gpt,1024,rat,50,78.398,72.38343863636364,78.38325308010043,83.81771181610941
object_animacy,gpt,1024_1024_1024,the_1,50,51.2,51.2,51.2,51.2
object_animacy,gpt,1024_1024_1024,cat,50,51.2,51.2,51.2,51.2
