Task,Encoder,Classifier,Word,n,Accuracy,ci_lower,mean,ci_upper
object,BERT,1024,the_1,49,61.10204081632653,58.65,61.180851678509505,63.709183389074695
object,BERT,1024,cat,50,58.254,55.96110413396127,58.2424876806444,60.68699414715719
object,BERT,1024,chased,50,64.678,62.31955853174603,64.68175498639208,66.85788819875776
object,BERT,1024,the_2,50,65.778,62.949650000000005,65.67224640398203,68.19850490196079
object,BERT,1024,rat,50,71.334,68.88921099290779,71.31488541335499,73.52699056603774
object,BERT,1024_1024_1024,the_1,41,25.190243902439025,21.206001552795033,25.15842969101118,28.891973039215685
object,BERT,1024_1024_1024,cat,47,24.680851063829788,21.52775475687104,24.638873801792556,27.863125
object,BERT,1024_1024_1024,chased,49,31.346938775510203,28.23237595038015,31.30483127720215,34.219324712643676
object,BERT,1024_1024_1024,the_2,47,29.214893617021275,25.989706554878047,29.283818397234224,32.83541132478632
object,BERT,1024_1024_1024,rat,50,35.266,31.722379558380727,35.33157323950792,38.665394308943085
object,BERT,20_20_20,the_1,50,51.766,50.3788373059867,51.7716609122161,53.20397569444444
object,BERT,20_20_20,cat,50,48.782,47.27846108490566,48.79520373280661,50.277833333333334
object,BERT,20_20_20,chased,50,49.934,47.7723494623656,49.94716142389098,52.00228280141844
object,BERT,20_20_20,the_2,50,54.196,51.44095263157895,54.19796449407724,56.64164905149051
object,BERT,20_20_20,rat,50,61.31,59.44651792750197,61.32233987605065,63.33063593004769
object,ELMo,1024,the_1,23,7.260869565217392,6.424652777777778,7.254273787644623,8.250288461538462
object,ELMo,1024,cat,21,13.60952380952381,11.228169642857143,13.660617985901252,16.08216386554622
object,ELMo,1024,chased,50,51.872,48.712450980392155,51.86099367035291,54.80820557491289
object,ELMo,1024,the_2,50,55.126,52.38030542986426,55.139602492777406,58.228094619666045
object,ELMo,1024,rat,50,61.428,58.299899999999994,61.300573896448945,64.32832564102564
object,ELMo,1024_1024_1024,the_1,1,5.9,5.9,5.9,5.9
object,ELMo,1024_1024_1024,cat,9,14.68888888888889,11.974791666666667,14.663579189169534,17.300714285714285
object,ELMo,1024_1024_1024,chased,41,20.7390243902439,18.21424107142857,20.820378040173868,23.74009375
object,ELMo,1024_1024_1024,the_2,49,23.4,19.809859693877552,23.453028456582224,27.420511363636365
object,ELMo,1024_1024_1024,rat,50,32.832,30.092780844155843,32.86053820271647,35.54429086538462
object,ELMo,20_20_20,the_1,47,19.51063829787234,18.16728359173127,19.50239737179226,20.810279977375565
object,ELMo,20_20_20,cat,49,15.20204081632653,14.63727004716981,15.19609119215753,15.791394308943088
object,ELMo,20_20_20,chased,50,41.022,39.69972222222223,41.0449072599861,42.4001875
object,ELMo,20_20_20,the_2,50,62.618,60.59370216836735,62.64787470781062,64.89635765550238
