bert,20_20_20,0,69.0
bert,1024_1024_1024,0,38.2
bert,1024,0,64.2
bert,20_20_20,1,51.4
bert,1024_1024_1024,1,31.7
bert,1024,1,62.5
bert,20_20_20,2,64.7
bert,1024_1024_1024,2,47.2
bert,1024,2,71.9
bert,20_20_20,3,55.2
bert,1024_1024_1024,3,52.7
bert,1024,3,84.9
bert,20_20_20,4,56.0
bert,1024_1024_1024,4,34.8
bert,1024,4,62.0
bert,20_20_20,0,3.7
bert,1024_1024_1024,0,45.6
bert,1024,0,56.0
bert,20_20_20,1,53.8
bert,1024_1024_1024,1,47.3
bert,1024,1,62.8
bert,20_20_20,2,58.4
bert,1024_1024_1024,2,28.8
bert,1024,2,53.6
bert,20_20_20,3,44.7
bert,1024_1024_1024,3,24.1
bert,1024,3,78.3
bert,20_20_20,4,57.3
bert,1024_1024_1024,4,27.7
bert,1024,4,60.3
bert,20_20_20,0,59.3
bert,1024_1024_1024,0,22.7
bert,1024,0,65.7
bert,20_20_20,1,56.9
bert,1024_1024_1024,1,36.6
bert,1024,1,60.9
bert,20_20_20,2,54.9
bert,1024_1024_1024,2,34.8
bert,1024,2,69.0
bert,20_20_20,3,68.6
bert,1024_1024_1024,3,45.6
bert,1024,3,64.7
bert,20_20_20,4,58.7
bert,1024_1024_1024,4,46.6
bert,1024,4,80.2
elmo,20_20_20,0,58.4
elmo,1024_1024_1024,0,3.6
elmo,1024,0,19.7
elmo,20_20_20,1,42.0
elmo,1024_1024_1024,1,13.1
elmo,1024,1,63.2
elmo,20_20_20,2,68.2
elmo,1024_1024_1024,2,32.1
elmo,1024,2,65.9
elmo,20_20_20,3,76.7
elmo,1024_1024_1024,3,14.8
elmo,1024,3,50.1
elmo,20_20_20,4,63.5
elmo,1024_1024_1024,4,42.2
elmo,1024,4,33.7
bert,20_20_20,0,50.5
bert,1024_1024_1024,0,36.3
bert,1024,0,60.0
bert,20_20_20,1,51.8
bert,1024_1024_1024,1,60.7
bert,1024,1,63.5
bert,20_20_20,2,73.1
bert,1024_1024_1024,2,48.5
bert,1024_1024_1024,4,30.8
elmo,1024_1024_1024,1,6.6
