islamist, islamists
merchant,merchants
engineer,engineers
martyr,martyrs
spouse,spouses
hero,heroes
technician,technicians
enthusiast,enthusiasts
girlfriend,girlfriends
violinist,violinists
rabbi,rabbis
mariner,mariners
writer,writers
shrink,shrinks
fiance,fiances
speaker,speakers
sergeant,sergeants
parisian,parisians
exile,exiles
emperor,emperors
barbarian,barbarians
warlock,warlocks
sucker,suckers
scribe,scribes
fisherman,fishermen
husband,husbands
governor,governors
defendant,defendants
ruler,rulers
spectator,spectators
lecturer,lecturers
president,presidents
grader,graders
vocalist,vocalists
homosexual,homosexuals
boxer,boxers
lover,lovers
programmer,programmers
loyalist,loyalists
englishman,englishmen
bartender,bartenders
protagonist,protagonists
photographer,photographers
shaman,shamans
protestant,protestants
barrister,barristers
provider,providers
supporter,supporters
knight,knights
settler,settlers
executive,executives
goldsmith,goldsmiths
expert,experts
victor,victors
hungarian,hungarians
translator,translators
trader,traders
seller,sellers
healer,healers
heir,heirs
squire,squires
visitor,visitors
elector,electors
texan,texans
psychologist,psychologists
townsperson,townspeople
villain,villains
deputy,deputies
sire,sires
investor,investors
minion,minions
biologist,biologists
teller,tellers
physicist,physicists
designer,designers
protector,protectors
proctor,proctors
prisoner,prisoners
bully,bullies
tsar,tsars
escort,escorts
prostitute,prostitutes
spaniard,spaniards
participant,participants
instructor,instructors
blacksmith,blacksmiths
brother,brothers
partner,partners
observer,observers
humanist,humanists
billionaire,billionaires
successor,successors
foreigner,foreigners
father,fathers
believer,believers
professor,professors
vassal,vassals
guitarist,guitarists
heiress,heiresss
murderer,murderers
spokesperson,spokespersons
privateer,privateers
messenger,messengers
highlander,highlanders
missionary,missionaries
widow,widows
shooter,shooters
person,persons
examiner,examiners
protestor,protestors
slave,slaves
winner,winners
heroine,heroines
regulator,regulators
researcher,researchers
jockey,jockeys
policeman,policemen
pitcher,pitchers
prodigy,prodigys
bard,bards
jurist,jurists
blogger,bloggers
housemate,housemates
migrant,migrants
duke,dukes
respondent,respondents
employer,employers
supplier,suppliers
lunatic,lunatics
promoter,promoters
seaman,seamen
broadcaster,broadcasters
pirate,pirates
inspector,inspectors
insurgent,insurgents
publisher,publishers
dwarf,dwarves
baroness,baronesss
laureate,laureates
subscriber,subscribers
godfather,godfathers
provost,provosts
sorcerer,sorcerers
trooper,troopers
fighter,fighters
legislator,legislators
surfer,surfers
killer,killers
survivor,survivors
theologian,theologians
foreman,foremen
lawyer,lawyers
jacobite,jacobites
mongol,mongols
stepfather,stepfathers
politician,politicians
inhabitant,inhabitants
entrepreneur,entrepreneurs
receptionist,receptionists
subordinate,subordinates
goddess,goddesses
gymnast,gymnasts
protege,proteges
tenant,tenants
viewer,viewers
playwright,playwrights
predecessor,predecessors
dignitary,dignitaries
trainer,trainers
libertarian,libertarians
monk,monks
practitioner,practitioners
mistress,mistresses
guest,guests
player,players
widower,widowers
intern,interns
monarch,monarchs
bolshevik,bolsheviks
warrior,warriors
landowner,landowners
headmaster,headmasters
tyrant,tyrants
superstar,superstars
emir,emirs
developer,developers
person,people
therapist,therapists
roommate,roommates
horseman,horsemen
producer,producers
landlord,landlords
interpreter,interpreters
bud,buds
firefighter,firefighters
priest,priests
teammate,teammates
specialist,specialists
fiancee,fiancees
stranger,strangers
prince,princes
villager,villagers
republican,republicans
mother,mothers
lord,lords
biker,bikers
maker,makers
plaintiff,plaintiffs
broker,brokers
fielder,fielders
host,hosts
troll,trolls
explorer,explorers
stud,studs
economist,economists
pedestrian,pedestrians
prosecutor,prosecutors
peasant,peasants
investigator,investigators
trainee,trainees
informant,informants
principal,principals
gardener,gardeners
employee,employees
educator,educators
skater,skaters
rector,rectors
kid,kids
student,students
shareholder,shareholders
traveler,travelers
lad,lads
bearer,bearers
reviewer,reviewers
general,generals
dweller,dwellers
diver,divers
priestess,priestesses
dragoon,dragoons
wife,wives
regular,regulars
sleeper,sleepers
dictator,dictators
diplomat,diplomats
resident,residents
dentist,dentists
ninja,ninjas
god,gods
philosopher,philosophers
thug,thugs
hire,hires
geologist,geologists
historian,historians
sister,sisters
invader,invaders
loser,losers
wizard,wizards
teenager,teenagers
equestrian,equestrians
democrat,democrats
finalist,finalists
cinematographer,cinematographers
boyfriend,boyfriends
filmmaker,filmmakers
senator,senators
sociologist,sociologists
theorist,theorists
secretary,secretaries
insider,insiders
witch,witches
pro,pros
child,children
alumn,alumni
